Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740725468,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.78%,"801.7MiB / 15.51GiB",5.05%,"46.5MB / 97MB","0B / 0B",249
1740725468,e192d5341051,reverse-proxy-api-1,e192d5341051,123.22%,"175.1MiB / 1GiB",17.10%,"498MB / 286MB","0B / 0B",47
1740725480,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.95%,"104.2MiB / 15.51GiB",0.66%,"752MB / 875MB","0B / 0B",40
1740725480,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,30.16%,"3.882GiB / 15.51GiB",25.03%,"411MB / 455MB","0B / 0B",841
1740725480,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.71%,"802.1MiB / 15.51GiB",5.05%,"46.7MB / 97.1MB","0B / 0B",248
1740725480,e192d5341051,reverse-proxy-api-1,e192d5341051,122.68%,"179.8MiB / 1GiB",17.56%,"500MB / 287MB","0B / 0B",50
1740725490,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.40%,"104MiB / 15.51GiB",0.65%,"756MB / 880MB","0B / 0B",40
1740725490,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,30.37%,"3.957GiB / 15.51GiB",25.52%,"413MB / 457MB","0B / 0B",841
1740725490,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.89%,"802.7MiB / 15.51GiB",5.05%,"46.9MB / 97.1MB","0B / 0B",248
1740725490,e192d5341051,reverse-proxy-api-1,e192d5341051,112.28%,"184.6MiB / 1GiB",18.03%,"503MB / 288MB","0B / 0B",60
1740725502,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,9.32%,"104MiB / 15.51GiB",0.66%,"760MB / 884MB","0B / 0B",40
1740725502,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,19.35%,"4.027GiB / 15.51GiB",25.97%,"415MB / 460MB","0B / 0B",841
1740725502,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.64%,"803.8MiB / 15.51GiB",5.06%,"47MB / 97.2MB","0B / 0B",248
1740725502,e192d5341051,reverse-proxy-api-1,e192d5341051,123.02%,"175.2MiB / 1GiB",17.11%,"505MB / 290MB","0B / 0B",45
1740725512,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.90%,"104.1MiB / 15.51GiB",0.66%,"764MB / 889MB","0B / 0B",40
1740725512,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,18.95%,"4.061GiB / 15.51GiB",26.19%,"417MB / 462MB","0B / 0B",841
1740725512,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.84%,"804.5MiB / 15.51GiB",5.07%,"47.2MB / 97.2MB","0B / 0B",248
1740725512,e192d5341051,reverse-proxy-api-1,e192d5341051,116.93%,"180.4MiB / 1GiB",17.62%,"508MB / 291MB","0B / 0B",41
1740725524,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.97%,"104MiB / 15.51GiB",0.65%,"769MB / 894MB","0B / 0B",40
1740725524,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,18.69%,"4.098GiB / 15.51GiB",26.43%,"419MB / 465MB","0B / 0B",841
1740725524,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.64%,"805.3MiB / 15.51GiB",5.07%,"47.3MB / 97.3MB","0B / 0B",248
1740725524,e192d5341051,reverse-proxy-api-1,e192d5341051,121.65%,"178.2MiB / 1GiB",17.41%,"510MB / 293MB","0B / 0B",51
