1740721564,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,24.68%,"106.5MiB / 15.51GiB",0.67%,"253MB / 294MB","0B / 0B",40
1740721564,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,38.09%,"2.868GiB / 15.51GiB",18.49%,"194MB / 160MB","0B / 0B",1021
1740721564,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.21%,"793.2MiB / 15.51GiB",4.99%,"24.3MB / 89.5MB","0B / 0B",244
1740721564,e192d5341051,reverse-proxy-api-1,e192d5341051,136.16%,"195.7MiB / 1GiB",19.12%,"169MB / 97.8MB","0B / 0B",60
1740721574,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,13.00%,"105.9MiB / 15.51GiB",0.67%,"258MB / 300MB","0B / 0B",40
1740721574,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,35.30%,"2.885GiB / 15.51GiB",18.61%,"196MB / 163MB","0B / 0B",1022
1740721574,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.75%,"794MiB / 15.51GiB",5.00%,"24.4MB / 89.6MB","0B / 0B",244
1740721574,e192d5341051,reverse-proxy-api-1,e192d5341051,138.50%,"188.2MiB / 1GiB",18.38%,"173MB / 99.8MB","0B / 0B",61
1740721586,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,13.78%,"106.5MiB / 15.51GiB",0.67%,"263MB / 306MB","0B / 0B",40
1740721586,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,39.33%,"2.971GiB / 15.51GiB",19.16%,"198MB / 165MB","0B / 0B",1021
1740721586,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.75%,"794.7MiB / 15.51GiB",5.00%,"24.6MB / 89.6MB","0B / 0B",244
1740721586,e192d5341051,reverse-proxy-api-1,e192d5341051,132.66%,"187.6MiB / 1GiB",18.32%,"176MB / 102MB","0B / 0B",60
1740721596,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,41.62%,"106.5MiB / 15.51GiB",0.67%,"267MB / 311MB","0B / 0B",40
1740721596,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,27.91%,"3.121GiB / 15.51GiB",20.12%,"200MB / 168MB","0B / 0B",1021
1740721596,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.91%,"795.9MiB / 15.51GiB",5.01%,"24.7MB / 89.7MB","0B / 0B",245
1740721596,e192d5341051,reverse-proxy-api-1,e192d5341051,137.18%,"193.1MiB / 1GiB",18.86%,"180MB / 104MB","0B / 0B",60
1740721609,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,32.86%,"106.4MiB / 15.51GiB",0.67%,"272MB / 317MB","0B / 0B",40
1740721609,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,66.66%,"3.252GiB / 15.51GiB",20.97%,"202MB / 170MB","0B / 0B",1021
1740721609,b424db67d982,reverse-proxy-controller-1,b424db67d982,7.30%,"796.8MiB / 15.51GiB",5.02%,"24.9MB / 89.7MB","0B / 0B",245
1740721609,e192d5341051,reverse-proxy-api-1,e192d5341051,136.27%,"207.4MiB / 1GiB",20.26%,"183MB / 106MB","0B / 0B",60
1740721621,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,56.74%,"106.6MiB / 15.51GiB",0.67%,"277MB / 322MB","0B / 0B",40
1740721621,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,30.03%,"3.316GiB / 15.51GiB",21.38%,"204MB / 173MB","0B / 0B",1021
1740721621,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.62%,"797.4MiB / 15.51GiB",5.02%,"25.1MB / 89.8MB","0B / 0B",245
1740721621,e192d5341051,reverse-proxy-api-1,e192d5341051,136.10%,"195.6MiB / 1GiB",19.10%,"186MB / 108MB","0B / 0B",60
1740721631,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,19.06%,"106.8MiB / 15.51GiB",0.67%,"282MB / 328MB","0B / 0B",40
1740721631,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,86.06%,"3.367GiB / 15.51GiB",21.71%,"206MB / 176MB","0B / 0B",1031
1740721631,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.77%,"798.2MiB / 15.51GiB",5.03%,"25.2MB / 89.8MB","0B / 0B",245
1740721631,e192d5341051,reverse-proxy-api-1,e192d5341051,135.40%,"199.8MiB / 1GiB",19.51%,"190MB / 110MB","0B / 0B",60
1740721643,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,14.33%,"106.4MiB / 15.51GiB",0.67%,"287MB / 334MB","0B / 0B",40
1740721643,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,28.98%,"3.389GiB / 15.51GiB",21.85%,"208MB / 179MB","0B / 0B",1022
